id,code,name,level,longitude,latitude
iET2k1MmEVm,PUJ-GAL-FONM,Fonikoh MCHP,5,-11.589390000000002,7.324025
L7dk9JVCGmF,KAR-ROM-FORM,Foredugu MCHP,5,-12.4992,8.7502
N3HM5AJwM6J,KOI-DIA-FORP,Foria CHP,5,-11.4577,9.251562999999999
EXEiJDQXAwV,TON-KUF-FOBM,Fothaneh Bana MCHP,5,-11.456050000000001,8.782328999999999
XWMxX2MCRjm,TON-KUS-FOTM,Fothaneh Junction MCHP,5,-11.383140000000001,8.59101
tag5lsx5qjI,WAR-MTN-FOUC,Fourah Bay College CHC,5,-13.220493999999999,8.478144
IR4tA2nKhd8,WAU-EA1-FBCM,Fourah Bay Community MCHP,5,-13.21372,8.48651
OsF1d3pffNb,BON-BEN-FOYP,Foya (Bendu-Cha) CHP,5,-12.370704,7.471559
j6bbbvxo0fL,BOO-VAL-FOYP,Foya (Valunia) CHP,5,-11.59828,8.287465
aIIYA59rHV4,KEN-KEC-FFLL,Friends For Lives Clinic,5,-11.179570000000002,7.865855
jsVezCQyft2,BOM-MAK-FULP,Fullah Town 1 (Makarie) CHP,5,-12.227971,8.817390000000001
wVoSzMxyH08,BOM-MAC-FULP,Fullah Town 2 (Makeni City) CHP,5,-12.04545,8.903324
lZuc0ETphyX,FAL-DES-FULM,Fullamansa MCHP,5,-11.490383,9.973346
nL0LlQ7yC3Q,BOO-KAK-FULM,Fullawahun MCHP,5,-11.7607,7.9562
qhD7sX1B2Hh,PUJ-GAL-FUNP,Funyehun CHP,5,-11.594100000000001,7.102632
jp9B4RN0ED3,PUJ-SOR-FUTM,Futa Golawoma MCHP,5,-11.471212999999999,7.1759509999999995
aN33ef7bvd9,PUJ-FUP-FUTC,Futa Pejeh CHC,5,-11.574048,7.561096
ThPlwr8wq7x,BON-IMP-GAIP,Gaindema CHP,5,-12.384528999999999,7.645435
ZU7Nj4wIQBW,BON-JON-GAMC,Gambia CHC,5,-12.175925999999999,7.535715
unHGkqo3Lim,BON-KPA-GAMM,Gambia Popayma MCHP,5,-11.973275,7.529239
AtTArrbwTzj,MOY-FAK-GANC,Gandorhun (Fakunya) CHC,5,-12.335866999999999,8.233383
XJT8rYu39Lo,KON-GBA-GANC,Gandorhun (Gbane) CHC,5,-10.86669,8.436596999999999
